id_1,id_2,page_1_name,page_2_name
4311,4124,Русские княжества,Турово-Пинское княжество
4311,1614,Русские княжества,Переяславское княжество
4311,2193,Русские княжества,Волынское княжество
4311,3831,Русские княжества,Киевское княжество
4311,2780,Русские княжества,Черниговское княжество
4311,3390,Русские княжества,Смоленское княжество
4311,4040,Русские княжества,Северо-Восточная Русь
4311,1452,Русские княжества,Великое княжество Рязанское
4311,3620,Русские княжества,Перемышльское княжество (удел Галицко-Волынского)
4311,80,Русские княжества,Теребовльское княжество
4311,2493,Русские княжества,Новгородская земля
4311,4011,Русские княжества,Галицко-Волынское княжество
4311,4775,Русские княжества,Роман Мстиславич
4311,254,Русские княжества,Война за объединение Галицко-Волынского княжества
4311,1642,Русские княжества,Даниил Галицкий
4311,1192,Русские княжества,Рюриковичи
4311,1419,Русские княжества,Монгольское нашествие на Русь
4311,4028,Русские княжества,Удел
4311,1102,Русские княжества,Великий князь
4311,2695,Русские княжества,Московское княжество
4311,621,Русские княжества,Великое княжество Литовское
4311,3162,Русские княжества,Распад Древнерусского государства
4311,2461,Русские княжества,Древнерусское государство
4311,2920,Русские княжества,Посадник
4311,691,Русские княжества,Тысяцкий
4311,3871,Русские княжества,Вече
4311,2272,Русские княжества,Католичество
4311,611,Русские княжества,Духовно-рыцарский орден
4311,3298,Русские княжества,Прибалтика
4311,1003,Русские княжества,Великое Княжество Литовское
4311,2043,Русские княжества,Вечный мир (1449)
4311,4752,Русские княжества,Польский король
4311,2079,Русские княжества,Великий князь Литовский
4311,922,Русские княжества,Казимир IV
4311,2913,Русские княжества,Василий II Тёмный
4311,4479,Русские княжества,Яжелбицкий мир
4311,4189,Русские княжества,Иван III
4311,876,Русские княжества,Ганза
